hora,estado,terminal,root,u_pu,uknom_kV,clave,energizado,cumple,ldf_ok
09:00,SIN_SSFV,1103385,1103385,0.996523,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1103393,1103393,0.996413,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1103407,1103407,0.996409,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1103431,1103431,0.996203,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1103458,1103458,0.996201,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1103725,1103725,0.996304,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154079,1154079,0.998197,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154087,1154087,0.998190,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154109,1154109,0.998191,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154117,1154117,0.998193,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154125,1154125,0.998194,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154133,1154133,0.998037,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154141,1154141,0.998038,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154150,1154150,0.998037,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154176,1154176,0.998037,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154192,1154192,0.998005,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154206,1154206,0.998007,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154214,1154214,0.996666,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154222,1154222,0.998005,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154231,1154231,0.998001,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154249,1154249,0.997087,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154257,1154257,0.997086,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154273,1154273,0.997085,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154281,1154281,0.997084,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154290,1154290,0.997084,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154303,1154303,0.998037,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154311,1154311,0.997378,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154346,1154346,0.997381,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154354,1154354,0.997380,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154371,1154371,0.996707,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154389,1154389,0.996707,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154397,1154397,0.996694,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154401,1154401,0.996675,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154435,1154435,0.998001,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154443,1154443,0.997218,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154451,1154451,0.997217,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154478,1154478,0.997216,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154494,1154494,0.997215,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154508,1154508,0.997558,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154524,1154524,0.996629,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154532,1154532,0.996626,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154541,1154541,0.996625,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154575,1154575,0.996629,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154583,1154583,0.996627,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154591,1154591,0.996624,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154605,1154605,0.996303,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1154613,1154613,0.996303,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155245,1155245,0.995980,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155253,1155253,0.995972,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155270,1155270,0.995975,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155334,1155334,0.995831,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155342,1155342,0.995829,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155351,1155351,0.995828,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155377,1155377,0.995826,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155652,1155652,0.995673,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155679,1155679,0.995825,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155741,1155741,0.995360,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155750,1155750,0.995358,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155776,1155776,0.995357,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155792,1155792,0.995358,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155806,1155806,0.995356,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155822,1155822,0.995356,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155849,1155849,0.995430,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155857,1155857,0.995428,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155881,1155881,0.995428,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155911,1155911,0.995971,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155938,1155938,0.995673,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155946,1155946,0.995671,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155971,1155971,0.995672,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1155997,1155997,0.995672,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1157019,1157019,0.995829,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1283235,1283235,0.997710,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1618733,1618733,0.995427,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1618741,1618741,0.995430,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1618750,1618750,0.995430,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1667238,1667238,0.996304,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,1667262,1667262,0.996410,13.800000190734863,0,1,1,1
09:00,SIN_SSFV,220 V,220 V,0.982302,0.2199999988079071,0,1,1,1
