hora,estado,linea,loading_pct,I_A,P_bus1_MW,clave,cumple,ldf_ok
09:00,SIN_SSFV,5283,8.8838,21.4092,0.459507,0,1,1
09:00,SIN_SSFV,5285,6.7836,16.3478,0.350996,0,1,1
09:00,SIN_SSFV,5287,5.4979,13.2491,0.284567,0,1,1
09:00,SIN_SSFV,5288,4.3406,10.4602,0.224784,0,1,1
09:00,SIN_SSFV,5289,4.3409,10.4609,0.224774,0,1,1
09:00,SIN_SSFV,5290,4.3413,10.4616,0.224765,0,1,1
09:00,SIN_SSFV,5291,3.8268,9.2224,0.198191,0,1,1
09:00,SIN_SSFV,5292,3.8270,9.2226,0.198190,0,1,1
09:00,SIN_SSFV,5294,3.8274,9.2231,0.198185,0,1,1
09:00,SIN_SSFV,5295,3.8277,9.2240,0.198175,0,1,1
09:00,SIN_SSFV,5296,3.8280,9.2247,0.198168,0,1,1
09:00,SIN_SSFV,5297,3.3140,7.9861,0.171587,0,1,1
09:00,SIN_SSFV,5298,3.3143,7.9868,0.171582,0,1,1
09:00,SIN_SSFV,5300,2.3880,5.7546,0.123766,0,1,1
09:00,SIN_SSFV,5304,0.0005,0.0013,0.000011,0,1,1
09:00,SIN_SSFV,5373,3.8284,9.2254,0.198161,0,1,1
09:00,SIN_SSFV,714206,1.5625,2.4218,0.049786,0,1,1
09:00,SIN_SSFV,714207,1.5303,2.3720,0.050910,0,1,1
09:00,SIN_SSFV,714208,2.6615,4.1253,0.088539,0,1,1
09:00,SIN_SSFV,714209,2.6615,4.1253,0.088539,0,1,1
09:00,SIN_SSFV,714525,0.4043,0.9299,0.019921,0,1,1
09:00,SIN_SSFV,717305,0.3993,0.6189,0.013281,0,1,1
09:00,SIN_SSFV,717306,0.3993,0.6189,0.013281,0,1,1
09:00,SIN_SSFV,720189,1.5085,2.3382,0.052035,0,1,1
09:00,SIN_SSFV,720190,1.5085,2.3382,0.052035,0,1,1
09:00,SIN_SSFV,720191,1.5085,2.3382,0.052035,0,1,1
09:00,SIN_SSFV,720192,1.5303,2.3720,0.050910,0,1,1
09:00,SIN_SSFV,720193,0.3992,0.6188,0.013281,0,1,1
09:00,SIN_SSFV,720194,0.3992,0.6188,0.013281,0,1,1
09:00,SIN_SSFV,725649,0.5989,0.9283,0.019921,0,1,1
09:00,SIN_SSFV,725650,0.5989,0.9283,0.019921,0,1,1
09:00,SIN_SSFV,725659,0.5989,0.9283,0.019921,0,1,1
09:00,SIN_SSFV,725660,0.5989,0.9283,0.019921,0,1,1
09:00,SIN_SSFV,741064,1.6330,2.5311,0.054231,0,1,1
09:00,SIN_SSFV,764757,0.5988,0.9282,0.019921,0,1,1
09:00,SIN_SSFV,764758,0.5988,0.9282,0.019921,0,1,1
09:00,SIN_SSFV,764759,0.5988,0.9282,0.019921,0,1,1
09:00,SIN_SSFV,764760,0.5988,0.9282,0.019921,0,1,1
09:00,SIN_SSFV,791042,0.4001,0.6202,-0.013281,0,1,1
09:00,SIN_SSFV,791043,0.4001,0.6202,0.013281,0,1,1
09:00,SIN_SSFV,791044,0.4001,0.6202,0.013281,0,1,1
09:00,SIN_SSFV,791045,0.4001,0.6202,0.013281,0,1,1
09:00,SIN_SSFV,804306,15.6477,61.0260,1.312856,0,1,1
09:00,SIN_SSFV,806799,0.5992,0.9288,0.019921,0,1,1
09:00,SIN_SSFV,807671,1.9146,2.9676,0.063997,1,1,1
09:00,SIN_SSFV,807672,1.9146,2.9676,0.063997,1,1,1
09:00,SIN_SSFV,807673,1.9146,2.9676,0.063996,1,1,1
09:00,SIN_SSFV,807674,1.9146,2.9676,0.063996,1,1,1
09:00,SIN_SSFV,807675,1.9146,2.9676,0.063996,1,1,1
09:00,SIN_SSFV,812080,1.5997,2.4795,0.053124,0,1,1
09:00,SIN_SSFV,812081,1.5997,2.4795,0.053124,0,1,1
09:00,SIN_SSFV,812082,1.5997,2.4795,0.053124,0,1,1
09:00,SIN_SSFV,812083,1.5997,2.4795,0.053123,0,1,1
09:00,SIN_SSFV,825166,0.5331,0.8263,0.017708,0,1,1
09:00,SIN_SSFV,825167,0.5331,0.8263,0.017708,0,1,1
09:00,SIN_SSFV,828934,2.3883,5.7551,0.123764,0,1,1
09:00,SIN_SSFV,828942,0.3852,0.9283,-0.019921,0,1,1
09:00,SIN_SSFV,828945,0.0020,0.0049,0.000033,0,1,1
09:00,SIN_SSFV,828948,0.0006,0.0015,0.000011,0,1,1
09:00,SIN_SSFV,9137,0.2993,0.4639,-0.009961,0,1,1
09:00,SIN_SSFV,9138,0.2993,0.4639,-0.009961,0,1,1
09:00,SIN_SSFV,9139,0.0000,0.0000,0.000022,0,1,1
09:00,SIN_SSFV,9140,0.0000,0.0000,0.000011,0,1,1
09:00,SIN_SSFV,9141,0.2993,0.4639,-0.009961,0,1,1
09:00,SIN_SSFV,9142,0.2993,0.4639,-0.009961,0,1,1
09:00,SIN_SSFV,9143,0.5986,0.9279,-0.019921,0,1,1
09:00,SIN_SSFV,9253,0.5985,0.9277,-0.019921,0,1,1
09:00,SIN_SSFV,9254,0.5985,0.9277,0.019921,0,1,1
09:00,SIN_SSFV,9256,0.5985,0.9277,0.019921,0,1,1
09:00,SIN_SSFV,9257,0.5985,0.9277,0.019921,0,1,1
09:00,SIN_SSFV,9258,0.5985,0.9277,0.019921,0,1,1
09:00,SIN_SSFV,9264,0.3991,0.6186,-0.013281,0,1,1
09:00,SIN_SSFV,9265,0.3991,0.6186,0.013281,0,1,1
09:00,SIN_SSFV,9266,0.3991,0.6186,0.013281,0,1,1
09:00,SIN_SSFV,9267,0.3991,0.6186,0.013281,0,1,1
09:00,SIN_SSFV,9268,0.3991,0.6186,0.013281,0,1,1
09:00,SIN_SSFV,9274,0.5992,0.9288,0.019921,0,1,1
09:00,SIN_SSFV,9275,0.5992,0.9288,0.019921,0,1,1
09:00,SIN_SSFV,9276,0.5992,0.9288,0.019921,0,1,1
09:00,SIN_SSFV,9277,0.5992,0.9288,0.019921,0,1,1
09:00,SIN_SSFV,9299,1.2644,1.9598,0.042057,0,1,1
09:00,SIN_SSFV,9300,1.2644,1.9598,0.042057,0,1,1
09:00,SIN_SSFV,9301,1.2644,1.9598,0.042057,0,1,1
09:00,SIN_SSFV,9302,0.2662,0.4126,0.008854,0,1,1
09:00,SIN_SSFV,9320,0.3994,0.6191,0.013281,0,1,1
09:00,SIN_SSFV,9321,0.3994,0.6191,0.013281,0,1,1
09:00,SIN_SSFV,9322,0.3994,0.6191,0.013281,0,1,1
09:00,SIN_SSFV,9323,0.3994,0.6191,0.013281,0,1,1
09:00,SIN_SSFV,9341,0.4796,0.7434,-0.015937,0,1,1
09:00,SIN_SSFV,9342,0.4796,0.7434,-0.015937,0,1,1
09:00,SIN_SSFV,9344,0.9592,1.4867,0.031874,0,1,1
09:00,SIN_SSFV,9345,0.7993,1.2389,0.026562,0,1,1
09:00,SIN_SSFV,9351,0.1599,0.2478,0.005312,0,1,1
09:00,SIN_SSFV,9352,0.1599,0.2478,0.005312,0,1,1
09:00,SIN_SSFV,9783,0.5990,0.9285,0.019921,0,1,1
09:00,SIN_SSFV,9784,0.5990,0.9285,0.019921,0,1,1
