hora,dU_poc_pu,dP_loss_kW,dLoading_max_linea_pct,dLoading_max_trafo_pct
09:00,0.000614,-0.1118,-1.2564,30.1935
12:00,0.000618,-0.3439,-1.2636,22.7765
15:00,0.000617,-0.2975,-1.2623,24.2686
