hora,estado,terminal,root,u_pu,uknom_kV,clave,cumple,ldf_ok
09:00,SIN_SSFV,1103725,1103725,0.996385,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154079,1154079,0.998237,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154087,1154087,0.998230,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154109,1154109,0.998231,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154117,1154117,0.998233,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154125,1154125,0.998234,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154133,1154133,0.998080,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154141,1154141,0.998081,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154150,1154150,0.998080,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154176,1154176,0.998080,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154192,1154192,0.998049,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154206,1154206,0.998050,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154214,1154214,0.996739,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154222,1154222,0.998048,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154231,1154231,0.998044,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154249,1154249,0.997151,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154257,1154257,0.997150,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154273,1154273,0.997149,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154281,1154281,0.997147,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154290,1154290,0.997148,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154303,1154303,0.998080,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154311,1154311,0.997435,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154346,1154346,0.997438,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154354,1154354,0.997437,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154371,1154371,0.996779,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154389,1154389,0.996779,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154397,1154397,0.996767,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154401,1154401,0.996748,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154435,1154435,0.998044,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154443,1154443,0.997279,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154451,1154451,0.997278,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154478,1154478,0.997277,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154494,1154494,0.997275,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154508,1154508,0.997611,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154524,1154524,0.996703,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154532,1154532,0.996700,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154541,1154541,0.996698,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154575,1154575,0.996703,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154583,1154583,0.996701,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154591,1154591,0.996698,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154605,1154605,0.996384,13.800000190734863,0,1,1
09:00,SIN_SSFV,1154613,1154613,0.996384,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155245,1155245,0.996068,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155253,1155253,0.996060,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155270,1155270,0.996063,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155334,1155334,0.995922,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155342,1155342,0.995920,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155351,1155351,0.995919,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155377,1155377,0.995917,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155652,1155652,0.995768,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155679,1155679,0.995916,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155741,1155741,0.995461,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155750,1155750,0.995459,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155776,1155776,0.995458,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155792,1155792,0.995460,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155806,1155806,0.995458,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155822,1155822,0.995457,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155849,1155849,0.995530,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155857,1155857,0.995528,13.800000190734863,0,1,1
09:00,SIN_SSFV,1155881,1155881,0.995528,13.800000190734863,0,1,1
