# CIRCUITO 10-502 — PARÁMETROS DE LÍNEAS
# Fuente: Datos Circuito 10 502 - 2026.xlsx / hoja 'Líneas '
# Unidades: Length[km], Rtd.Current[kA], R1/X1/R0/X0[Ohm], B1/B0[uS]
#====================================================================================================
Name	In_Folder	Grid	Terminal_i	Terminal_j	Length_km	Conductor	In_kA	R1	X1	B1	R0	X0	B0
9343	10 502	10 502	1154575	1154583	0.0186	3F_15_CU_2_XLPE	0.155	0.0122	0.0079	0	0.0203	0.0076	0
9344	10 502	10 502	1154575	1154583	0.0186	3F_15_CU_2_XLPE	0.155	0.0122	0.0079	0	0.0203	0.0076	0
9345	10 502	10 502	1154583	1154591A	0.0221	3F_15_CU_2_XLPE	0.155	0.0145	0.0094	0	0.0242	0.009	0
9351	10 502	10 502	1154583	1103211	0.0212	3F_15_CU_2_XLPE	0.155	0.0139	0.0091	0	0.0233	0.0087	0
9352	10 502	10 502	1103211	1103229A	0.0162	3F_15_CU_2_XLPE	0.155	0.0106	0.0069	0	0.0177	0.0066	0
9783	10 502	10 502	1067117B	1154346	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9784	10 502	10 502	1154346	1154354	0.0102	3F_15_CU_2_XLPE	0.155	0.0067	0.0044	0	0.0112	0.0042	0
9785	10 502	10 502	1154354	1154311A	0.023	3F_15_CU_2_XLPE	0.155	0.0151	0.0098	0	0.0252	0.0094	0
9811	10 502	10 502	1067133C	1103296	0.012	3F_15_CU_2_XLPE	0.155	0.0079	0.0051	0	0.0131	0.0049	0
9822	10 502	10 502	1103296	1103300	0.009	3F_15_CU_2_XLPE	0.155	0.0059	0.0038	0	0.0098	0.0037	0
9823	10 502	10 502	1103300	1103326	0.016	3F_15_CU_2_XLPE	0.155	0.0105	0.0068	0	0.0176	0.0065	0
9824	10 502	10 502	1103326	1103318A	0.0007	3F_15_CU_2_XLPE	0.155	0.0005	0.0003	0	0.0008	0.0003	0
9839	10 502	10 502	1067176B	1154389	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9840	10 502	10 502	1067176C	1154371	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9841	10 502	10 502	1154389	1154397	0.0412	3F_15_CU_2_XLPE	0.155	0.0271	0.0176	0	0.0452	0.0168	0
9842	10 502	10 502	1154371	1154397	0.04	3F_15_CU_2_XLPE	0.155	0.0263	0.0171	0	0.0438	0.0163	0
9843	10 502	10 502	1154397	1154401A	0.0414	3F_15_CU_2_XLPE	0.155	0.0272	0.0176	0	0.0453	0.0169	0
9844	10 502	10 502	1154397	1154214A	0.0638	3F_15_CU_2_XLPE	0.155	0.0419	0.0272	0	0.0698	0.026	0
9944	10 502	10 502	1067184E	1154524	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9945	10 502	10 502	1154524	1154532	0.0322	3F_15_CU_2_XLPE	0.155	0.0212	0.0138	0	0.0353	0.0132	0
9946	10 502	10 502	1154532	1154541A	0.0187	3F_15_CU_2_XLPE	0.155	0.0123	0.008	0	0.0205	0.0076	0
9949	10 502	10 502	1067192B	1103245	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9950	10 502	10 502	1103245	1103253A	0.0313	3F_15_CU_2_XLPE	0.155	0.0205	0.0133	0	0.0343	0.0128	0
9966	10 502	10 502	1067192C	1103351	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9967	10 502	10 502	1103351	1103385A	0.0226	3F_15_CU_2_XLPE	0.155	0.0148	0.0096	0	0.0247	0.0092	0
9989	10 502	10 502	1067206B	1103393	0.0165	3F_15_CU_2_XLPE	0.155	0.0108	0.007	0	0.0181	0.0067	0
9990	10 502	10 502	1103393	1667262	0.025	3F_15_CU_2_XLPE	0.155	0.0164	0.0107	0	0.0274	0.0102	0
9991	10 502	10 502	1667262	1103407A	0.0035	3F_15_CU_2_XLPE	0.155	0.0023	0.0015	0	0.0039	0.0014	0

# TOTAL_TRAMOS=215
