Name	In Folder	Grid	Terminal i	Terminal j	Length	Type Name	Rtd.Current	R1	X1	B1	R0	X0	B0
			Busbar	Busbar	km		kA	Ohm	Ohm	uS	Ohm	Ohm	uS
5147	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067125	1067141	0.0502	3F_15_ACSR_2/0_AIRE	0.275	0.020815	0.022447	0.193182	0.036664	0.093462	0.088564
5148	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067141	1067150	0.0631	3F_15_ACSR_1/0_AIRE	0.241	0.033002	0.028743	0.237593	0.052841	0.117974	0.110135
5153	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067150	1067176	0.0738	3F_15_ACSR_2/0_AIRE	0.275	0.0306	0.033	0.284	0.0539	0.1374	0.1302
5154	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067176	1067184	0.0415	3F_15_ACSR_2/0_AIRE	0.275	0.017207	0.018557	0.159702	0.03031	0.077264	0.073215
5156	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067184	1067192	0.0589	3F_15_ACSR_2/0_AIRE	0.275	0.024422	0.026337	0.226661	0.043018	0.109659	0.103913
5157	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067192	1067206	0.0649	3F_15_ACSR_2/0_AIRE	0.275	0.02691	0.02902	0.249751	0.0474	0.12083	0.114498
5158	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067206	1067214	0.0677	3F_15_ACSR_2/0_AIRE	0.275	0.028071	0.030272	0.260526	0.049445	0.126043	0.119438
5280	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1067214	1101251	0.027	3F_15_ACSR_2/0_AIRE	0.275	0.011195	0.012073	0.103902	0.01972	0.050268	0.047634
5281	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101251	1101277	0.0313	3F_15_ACSR_1/0_AIRE	0.241	0.01637	0.014258	0.117855	0.026211	0.058519	0.054631
5282	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101277	3769721	0.0529	3F_15_ACSR_1/0_AIRE	0.241	0.027667	0.024097	0.199186	0.0443	0.098903	0.092332
5283	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	3769721	1101293	0.0685	3F_15_ACSR_1/0_AIRE	0.241	0.035826	0.031203	0.257926	0.057363	0.12807	0.11956
5285	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101293	1101307	0.058	3F_15_ACSR_1/0_AIRE	0.241	0.030334	0.02642	0.21839	0.048571	0.108439	0.101233
5287	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101307	1101315	0.0666	3F_15_ACSR_1/0_AIRE	0.241	0.034832	0.030338	0.250771	0.055772	0.124517	0.116244
5288	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101315	1101323	0.0583	3F_15_ACSR_1/0_AIRE	0.241	0.030491	0.026557	0.219519	0.048822	0.108999	0.101757
5289	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101323	1101331	0.0532	3F_15_ACSR_1/0_AIRE	0.241	0.027824	0.024234	0.200316	0.044551	0.099464	0.092855
5290	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101331	1101340	0.0689	3F_15_ACSR_1/0_AIRE	0.241	0.036035	0.031385	0.259432	0.057698	0.128818	0.120258
5291	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101340	1045288	0.0122	3F_15_ACSR_1/0_AIRE	0.241	0.006381	0.005557	0.045937	0.010217	0.022809	0.021294
5292	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1045288	1101358	0.0368	3F_15_ACSR_1/0_AIRE	0.241	0.019247	0.016763	0.138564	0.030817	0.068802	0.064231
5294	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101358	1101374	0.0736	3F_15_ACSR_1/0_AIRE	0.241	0.038493	0.033526	0.277129	0.061634	0.137605	0.128461
5295	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101374	1101382	0.0557	3F_15_ACSR_1/0_AIRE	0.241	0.029131	0.025373	0.209729	0.046644	0.104138	0.097219
5296	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101382	1101391	0.0513	3F_15_ACSR_1/0_AIRE	0.241	0.02683	0.023368	0.193162	0.04296	0.095912	0.089539
5297	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101404	1101412	0.0539	3F_15_ACSR_1/0_AIRE	0.241	0.02819	0.024553	0.202952	0.045137	0.100773	0.094077
5298	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101412	1101421	0.0506	3F_15_ACSR_1/0_AIRE	0.241	0.026464	0.023049	0.190526	0.042374	0.094603	0.088317
5300	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101421	1101447	0.0397	3F_15_ACSR_1/0_AIRE	0.241	0.020763	0.018084	0.149484	0.033246	0.074224	0.069292
5304	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101480	1065971	0.0426	3F_15_ACSR_1/0_AIRE	0.241	0.02228	0.019405	0.160403	0.035674	0.079646	0.074354
5373	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1101391	1101404	0.0851	3F_15_ACSR_1/0_AIRE	0.241	0.044508	0.038765	0.32043	0.071265	0.159106	0.148533
9137	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154141	1067028	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9138	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154150	1154141	0.021	3F_15_CU_2_XLPE	0.155	0.013799	0.008948	0	0.023019	0.008587	0
9139	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154150	1154133	0.043	3F_15_CU_2_XLPE	0.155	0.028255	0.018323	0	0.047133	0.017582	0
9140	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154133	1154303	0.0083	3F_15_CU_2_XLPE	0.155	0.005454	0.003537	0	0.009098	0.003394	0
9141	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154141	1067028	0.012	3F_15_CU_2_XLPE	0.155	0.007885	0.005113	0	0.013154	0.004907	0
9142	\Usuario Principal.IntUser\Mas X Menos Guarin.IntPrj\Modelo de Red.IntPrjfolder\Datos de Red.IntPrjfolder\Red.ElmNet	Red	1154150	1154141	0.021	3F_15_CU_2_XLPE	0.155	0.013799	0.008948	0	0.023019	0.008587	0
