linea,de,a,nodo_de,nodo_a,L_km,conductor,In_kA,en_pdf
9142,1154141,1154150,1154141,1154150,0.021,3F_15_CU_2_XLPE,0.155,SI
9143,1154150,1154176A,1154150,1154176,0.0089,3F_15_CU_2_XLPE,0.155,SI
9253,1067010C,1154079,1067010,1154079,0.0165,3F_15_CU_2_XLPE,0.155,SI
9254,1154079,1154125,1154079,1154125,0.0356,3F_15_CU_2_XLPE,0.155,SI
9256,1154125,1154117,1154125,1154117,0.0127,3F_15_CU_2_XLPE,0.155,SI
9257,1154117,1154109,1154117,1154109,0.0206,3F_15_CU_2_XLPE,0.155,SI
9258,1154109,1154087A,1154109,1154087,0.008,3F_15_CU_2_XLPE,0.155,SI
9264,1067036B,1154206,1067036,1154206,0.0165,3F_15_CU_2_XLPE,0.155,SI
9265,1154206,1154192,1154206,1154192,0.0216,3F_15_CU_2_XLPE,0.155,SI
9266,1154192,1154222,1154192,1154222,0.0128,3F_15_CU_2_XLPE,0.155,SI
9267,1154222,1154231,1154222,1154231,0.0635,3F_15_CU_2_XLPE,0.155,SI
9268,1154231,1154435A,1154231,1154435,0.0024,3F_15_CU_2_XLPE,0.155,SI
9274,1067141C,1154249,1067141,1154249,0.0165,3F_15_CU_2_XLPE,0.155,SI
9275,1154249,1154257,1154249,1154257,0.0039,3F_15_CU_2_XLPE,0.155,SI
9276,1154257,1154273,1154257,1154273,0.0166,3F_15_CU_2_XLPE,0.155,SI
9277,1154273,1154290A,1154273,1154290,0.01,3F_15_CU_2_XLPE,0.155,SI
9299,1067109C,1102958,1067109,1102958,0.0165,3F_15_CU_2_XLPE,0.155,SI
9300,1102958,1102974A,1102958,1102974,0.014,3F_15_CU_2_XLPE,0.155,SI
9301,1102974A,1154508,1102974,1154508,0.0697,3F_15_CU_2_XLPE,0.155,SI
9302,1154508,1102982A,1154508,1102982,0.0075,3F_15_CU_2_XLPE,0.155,SI
9320,1067125C,1154443,1067125,1154443,0.0165,3F_15_CU_2_XLPE,0.155,SI
9321,1154443,1154451,1154443,1154451,0.0128,3F_15_CU_2_XLPE,0.155,SI
9322,1154451,1154478,1154451,1154478,0.0184,3F_15_CU_2_XLPE,0.155,SI
9323,1154478,1154494A,1154478,1154494,0.0243,3F_15_CU_2_XLPE,0.155,SI
9341,1067184D,1154575,1067184,1154575,0.0165,3F_15_CU_2_XLPE,0.155,SI
9342,1067184C,1154575,1067184,1154575,0.0165,3F_15_CU_2_XLPE,0.155,SI
