nodo,u_sin_pu,u_con_pu,dU_pu,clave
220 V,0.980743,0.992028,0.011285,0
3272966,0.994702,0.995319,0.000617,1
3272869,0.994703,0.995319,0.000616,1
3272761,0.994705,0.995319,0.000614,1
3272664,0.994707,0.995318,0.000611,1
3272567,0.994713,0.995317,0.000604,1
1065971,0.994711,0.995310,0.000599,1
1101455,0.994717,0.995316,0.000599,0
1101471,0.994711,0.995310,0.000599,0
1101480,0.994711,0.995310,0.000599,0
2479567,0.994711,0.995310,0.000599,1
1101447,0.994744,0.995326,0.000582,0
1155741,0.994764,0.995334,0.000570,0
1155792,0.994763,0.995333,0.000570,0
1155822,0.994760,0.995330,0.000570,0
2789141,0.994760,0.995330,0.000570,0
1101421,0.994765,0.995335,0.000570,0
1155750,0.994762,0.995332,0.000570,0
1155776,0.994761,0.995331,0.000570,0
1155806,0.994761,0.995330,0.000569,0
2789132,0.994761,0.995330,0.000569,0
1101412,0.994803,0.995356,0.000553,0
1101404,0.994844,0.995380,0.000536,0
1618733,0.994840,0.995376,0.000536,0
1155849,0.994843,0.995379,0.000536,0
1155881,0.994841,0.995377,0.000536,0
1618741,0.994843,0.995379,0.000536,0
1618750,0.994843,0.995379,0.000536,0
9219013,0.994840,0.995375,0.000535,0
1155857,0.994842,0.995377,0.000535,0
1101391,0.994918,0.995426,0.000508,0
1101382,0.994963,0.995454,0.000491,0
1101374,0.995012,0.995484,0.000472,0
1101358,0.995076,0.995524,0.000448,0
1045288,0.995108,0.995544,0.000436,0
1101340,0.995118,0.995551,0.000433,0
1155652,0.995118,0.995550,0.000432,0
1155938,0.995118,0.995550,0.000432,0
1155946,0.995116,0.995548,0.000432,0
1155971,0.995117,0.995549,0.000432,0
1155997,0.995117,0.995549,0.000432,0
1101331,0.995187,0.995597,0.000410,0
1101323,0.995239,0.995632,0.000393,0
1155351,0.995292,0.995666,0.000374,0
1155334,0.995295,0.995669,0.000374,0
1155342,0.995293,0.995667,0.000374,0
1101315,0.995297,0.995670,0.000373,0
1155679,0.995289,0.995662,0.000373,0
1155377,0.995290,0.995663,0.000373,0
1157019,0.995294,0.995667,0.000373,0
2214156,0.995375,0.995727,0.000352,0
4938216,0.995375,0.995727,0.000352,0
1101307,0.995380,0.995732,0.000352,0
2214148,0.995376,0.995728,0.000352,0
2214130,0.995379,0.995730,0.000351,0
1101293,0.995470,0.995803,0.000333,0
1155245,0.995463,0.995796,0.000333,0
1155253,0.995455,0.995788,0.000333,0
1155270,0.995458,0.995791,0.000333,0
2567814,0.995454,0.995787,0.000333,0
3453464,0.995448,0.995781,0.000333,0
1155911,0.995454,0.995786,0.000332,0
2567831,0.995454,0.995786,0.000332,0
3453260,0.995445,0.995777,0.000332,0
3453367,0.995446,0.995778,0.000332,0
3453561,0.995454,0.995786,0.000332,0
3769721,0.995609,0.995919,0.000310,0
1101277,0.995716,0.996009,0.000293,0
1103431,0.995715,0.996008,0.000293,0
1103458,0.995713,0.996006,0.000293,0
1101251,0.995782,0.996065,0.000283,0
1067214,0.995830,0.996106,0.000276,0
1154613,0.995828,0.996104,0.000276,0
1103725,0.995830,0.996105,0.000275,0
1154605,0.995829,0.996104,0.000275,0
1667238,0.995830,0.996105,0.000275,0
1667262,0.995948,0.996207,0.000259,0
1103393,0.995952,0.996210,0.000258,0
1067206,0.995954,0.996212,0.000258,0
1103407,0.995948,0.996206,0.000258,0
1103385,0.996076,0.996318,0.000242,0
1103245,0.996077,0.996318,0.000241,0
1067192,0.996078,0.996319,0.000241,0
1103253,0.996074,0.996315,0.000241,0
1103351,0.996078,0.996319,0.000241,0
1154575,0.996196,0.996423,0.000227,0
1103211,0.996193,0.996419,0.000226,0
1103229,0.996192,0.996418,0.000226,0
1154524,0.996196,0.996422,0.000226,0
1154532,0.996193,0.996419,0.000226,0
1154583,0.996193,0.996419,0.000226,0
1067184,0.996197,0.996423,0.000226,0
1154541,0.996191,0.996417,0.000226,0
1154591,0.996190,0.996416,0.000226,0
1154371,0.996284,0.996500,0.000216,0
1154389,0.996284,0.996500,0.000216,0
1154214,0.996238,0.996453,0.000215,0
1067176,0.996290,0.996505,0.000215,0
1154397,0.996270,0.996485,0.000215,0
1154401,0.996248,0.996463,0.000215,0
1067150,0.996501,0.996697,0.000196,0
1154273,0.996710,0.996886,0.000176,0
1154290,0.996709,0.996885,0.000176,0
1154257,0.996712,0.996888,0.000176,0
1067141,0.996714,0.996889,0.000175,0
1154249,0.996713,0.996888,0.000175,0
1154281,0.996709,0.996884,0.000175,0
1067125,0.996861,0.997024,0.000163,0
1067133,0.996858,0.997021,0.000163,0
1103300,0.996857,0.997020,0.000163,0
1154443,0.996860,0.997023,0.000163,0
1154478,0.996858,0.997021,0.000163,0
1103296,0.996858,0.997020,0.000162,0
1103318,0.996857,0.997019,0.000162,0
1103326,0.996857,0.997019,0.000162,0
1154451,0.996860,0.997022,0.000162,0
1154494,0.996857,0.997019,0.000162,0
1067117,0.997046,0.997193,0.000147,0
1154311,0.997041,0.997188,0.000147,0
1154346,0.997045,0.997192,0.000147,0
1154354,0.997044,0.997191,0.000147,0
1067109,0.997265,0.997395,0.000130,0
1026666,0.997243,0.997373,0.000130,0
1026682,0.997243,0.997373,0.000130,0
1102958,0.997262,0.997392,0.000130,0
1102974,0.997259,0.997389,0.000130,0
1102982,0.997244,0.997374,0.000130,0
1154508,0.997244,0.997374,0.000130,0
8338973,0.997241,0.997371,0.000130,0
8339694,0.997241,0.997371,0.000130,0
8339708,0.997243,0.997373,0.000130,0
8339155,0.997242,0.997371,0.000129,0
1067079,0.997427,0.997546,0.000119,0
9500766,0.997431,0.997550,0.000119,0
1067052,0.997434,0.997553,0.000119,0
1067087,0.997422,0.997541,0.000119,0
1283235,0.997415,0.997534,0.000119,0
4249330,0.997418,0.997537,0.000119,0
4249348,0.997416,0.997535,0.000119,0
4249356,0.997411,0.997530,0.000119,0
4249372,0.997410,0.997529,0.000119,0
5604524,0.997415,0.997534,0.000119,0
5605024,0.997424,0.997543,0.000119,0
5605032,0.997421,0.997540,0.000119,0
8795266,0.997428,0.997547,0.000119,0
9500758,0.997433,0.997552,0.000119,0
9500774,0.997428,0.997547,0.000119,0
1067044,0.997598,0.997709,0.000111,0
1067036,0.997751,0.997854,0.000103,0
1154206,0.997750,0.997853,0.000103,0
1154192,0.997749,0.997851,0.000102,0
1154222,0.997748,0.997850,0.000102,0
1154231,0.997744,0.997846,0.000102,0
1154435,0.997744,0.997846,0.000102,0
1154133,0.997785,0.997886,0.000101,0
1154141,0.997786,0.997887,0.000101,0
1154150,0.997785,0.997886,0.000101,0
1154176,0.997784,0.997885,0.000101,0
1154303,0.997785,0.997886,0.000101,0
1067028,0.997787,0.997887,0.000100,0
2765837,0.997941,0.998033,0.000092,0
1154117,0.997961,0.998052,0.000091,0
1067010,0.997967,0.998058,0.000091,0
1154079,0.997966,0.998057,0.000091,0
1154087,0.997958,0.998049,0.000091,0
1154109,0.997959,0.998050,0.000091,0
1154125,0.997962,0.998053,0.000091,0
2765811,0.997958,0.998049,0.000091,0
2765829,0.997943,0.998034,0.000091,0
1069683,0.998083,0.998169,0.000086,0
1069527,0.998342,0.998416,0.000074,0
1069519,0.998400,0.998472,0.000072,0
1069501,0.998558,0.998623,0.000065,0
1069497,0.998755,0.998811,0.000056,0
1069489,0.998976,0.999022,0.000046,0
1069471,0.999232,0.999266,0.000034,0
1069454,0.999378,0.999406,0.000028,0
1069446,0.999468,0.999492,0.000024,0
1069438,0.999826,0.999834,0.000008,0
1067001,0.999981,0.999982,0.000001,0
Terminal(1),1.000000,1.000000,0.000000,0
