nodo,clave,u_09_sin,u_09_con,dU_09,u_12_sin,u_12_con,dU_12,u_15_sin,u_15_con,dU_15
1155911,0,0.996059,0.996390,0.000331,0.995454,0.995786,0.000332,0.995574,0.995906,0.000332
2567831,0,0.996059,0.996390,0.000331,0.995454,0.995786,0.000332,0.995574,0.995906,0.000332
3453260,0,0.996051,0.996382,0.000331,0.995445,0.995777,0.000332,0.995565,0.995897,0.000332
3453367,0,0.996052,0.996383,0.000331,0.995446,0.995778,0.000332,0.995566,0.995898,0.000332
3453561,0,0.996059,0.996389,0.000330,0.995454,0.995786,0.000332,0.995574,0.995906,0.000332
3769721,0,0.996194,0.996502,0.000308,0.995609,0.995919,0.000310,0.995725,0.996035,0.000310
1101277,0,0.996287,0.996578,0.000291,0.995716,0.996009,0.000293,0.995829,0.996122,0.000293
1103431,0,0.996286,0.996577,0.000291,0.995715,0.996008,0.000293,0.995828,0.996121,0.000293
1103458,0,0.996284,0.996575,0.000291,0.995713,0.996006,0.000293,0.995826,0.996119,0.000293
1101251,0,0.996344,0.996625,0.000281,0.995782,0.996065,0.000283,0.995894,0.996176,0.000282
1067214,0,0.996386,0.996659,0.000273,0.995830,0.996106,0.000276,0.995941,0.996216,0.000275
1154613,0,0.996384,0.996658,0.000274,0.995828,0.996104,0.000276,0.995939,0.996214,0.000275
1103725,0,0.996385,0.996659,0.000274,0.995830,0.996105,0.000275,0.995940,0.996215,0.000275
1154605,0,0.996384,0.996658,0.000274,0.995829,0.996104,0.000275,0.995939,0.996214,0.000275
1667238,0,0.996385,0.996659,0.000274,0.995830,0.996105,0.000275,0.995940,0.996215,0.000275
1667262,0,0.996488,0.996744,0.000256,0.995948,0.996207,0.000259,0.996056,0.996313,0.000257
1103393,0,0.996491,0.996747,0.000256,0.995952,0.996210,0.000258,0.996059,0.996317,0.000258
1067206,0,0.996493,0.996749,0.000256,0.995954,0.996212,0.000258,0.996060,0.996318,0.000258
1103407,0,0.996488,0.996744,0.000256,0.995948,0.996206,0.000258,0.996055,0.996313,0.000258
1103385,0,0.996599,0.996839,0.000240,0.996076,0.996318,0.000242,0.996180,0.996421,0.000241
1103245,0,0.996599,0.996839,0.000240,0.996077,0.996318,0.000241,0.996181,0.996421,0.000240
1067192,0,0.996601,0.996840,0.000239,0.996078,0.996319,0.000241,0.996182,0.996423,0.000241
1103253,0,0.996597,0.996836,0.000239,0.996074,0.996315,0.000241,0.996177,0.996418,0.000241
1103351,0,0.996600,0.996840,0.000240,0.996078,0.996319,0.000241,0.996181,0.996422,0.000241
1154575,0,0.996703,0.996927,0.000224,0.996196,0.996423,0.000227,0.996297,0.996523,0.000226
1103211,0,0.996700,0.996924,0.000224,0.996193,0.996419,0.000226,0.996293,0.996519,0.000226
1103229,0,0.996700,0.996924,0.000224,0.996192,0.996418,0.000226,0.996293,0.996519,0.000226
1154524,0,0.996703,0.996927,0.000224,0.996196,0.996422,0.000226,0.996297,0.996522,0.000225
1154532,0,0.996700,0.996924,0.000224,0.996193,0.996419,0.000226,0.996294,0.996519,0.000225
1154583,0,0.996701,0.996925,0.000224,0.996193,0.996419,0.000226,0.996294,0.996520,0.000226
1067184,0,0.996704,0.996928,0.000224,0.996197,0.996423,0.000226,0.996298,0.996524,0.000226
1154541,0,0.996698,0.996923,0.000225,0.996191,0.996417,0.000226,0.996292,0.996517,0.000225
1154591,0,0.996698,0.996922,0.000224,0.996190,0.996416,0.000226,0.996291,0.996517,0.000226
1154371,0,0.996779,0.996993,0.000214,0.996284,0.996500,0.000216,0.996383,0.996597,0.000214
