nodo,u_sin_pu,u_con_pu,dU_pu,clave
1067044,0.997919,0.998028,0.000109,0
1154206,0.998050,0.998152,0.000102,0
1154222,0.998048,0.998150,0.000102,0
1154231,0.998044,0.998146,0.000102,0
1154435,0.998044,0.998146,0.000102,0
1067036,0.998051,0.998152,0.000101,0
1154192,0.998049,0.998150,0.000101,0
1154133,0.998080,0.998180,0.000100,0
1154141,0.998081,0.998181,0.000100,0
1154150,0.998080,0.998180,0.000100,0
1154303,0.998080,0.998180,0.000100,0
1154176,0.998080,0.998179,0.000099,0
1067028,0.998082,0.998181,0.000099,0
2765811,0.998230,0.998321,0.000091,0
2765829,0.998217,0.998308,0.000091,0
1067010,0.998238,0.998328,0.000090,0
1154087,0.998230,0.998320,0.000090,0
1154109,0.998231,0.998321,0.000090,0
1154125,0.998234,0.998324,0.000090,0
2765837,0.998216,0.998306,0.000090,0
1154079,0.998237,0.998327,0.000090,0
1154117,0.998233,0.998323,0.000090,0
1069683,0.998338,0.998423,0.000085,0
1069527,0.998563,0.998636,0.000073,0
1069519,0.998613,0.998684,0.000071,0
1069501,0.998750,0.998814,0.000064,0
1069497,0.998921,0.998977,0.000056,0
1069489,0.999112,0.999158,0.000046,0
1069471,0.999334,0.999369,0.000035,0
1069454,0.999461,0.999489,0.000028,0
1069446,0.999539,0.999563,0.000024,0
1069438,0.999849,0.999857,0.000008,0
1067001,0.999983,0.999984,0.000001,0
Terminal(1),1.000000,1.000000,0.000000,0
