nodo,u_sin_pu,u_con_pu,dU_pu,clave
220 V,0.982567,0.993755,0.011188,0
3272966,0.995407,0.996021,0.000614,1
3272869,0.995408,0.996020,0.000612,1
3272761,0.995409,0.996020,0.000611,1
3272664,0.995411,0.996019,0.000608,1
3272567,0.995416,0.996016,0.000600,1
1101455,0.995420,0.996015,0.000595,0
1065971,0.995415,0.996010,0.000595,1
1101471,0.995415,0.996010,0.000595,0
1101480,0.995415,0.996010,0.000595,0
2479567,0.995415,0.996010,0.000595,1
1101447,0.995443,0.996022,0.000579,0
1101421,0.995462,0.996028,0.000566,0
1155750,0.995459,0.996025,0.000566,0
1155776,0.995458,0.996024,0.000566,0
1155806,0.995458,0.996024,0.000566,0
2789132,0.995458,0.996024,0.000566,0
1155741,0.995461,0.996027,0.000566,0
1155792,0.995460,0.996026,0.000566,0
1155822,0.995457,0.996023,0.000566,0
2789141,0.995457,0.996023,0.000566,0
1101412,0.995495,0.996045,0.000550,0
1101404,0.995530,0.996062,0.000532,0
1155849,0.995530,0.996062,0.000532,0
1155857,0.995528,0.996060,0.000532,0
1155881,0.995528,0.996060,0.000532,0
1618733,0.995527,0.996059,0.000532,0
1618741,0.995529,0.996061,0.000532,0
1618750,0.995530,0.996062,0.000532,0
9219013,0.995526,0.996058,0.000532,0
1101391,0.995595,0.996099,0.000504,0
1101382,0.995634,0.996121,0.000487,0
1101374,0.995676,0.996145,0.000469,0
1101358,0.995731,0.996177,0.000446,0
1045288,0.995759,0.996193,0.000434,0
1101340,0.995768,0.996198,0.000430,0
1155971,0.995767,0.996197,0.000430,0
1155652,0.995768,0.996197,0.000429,0
1155938,0.995768,0.996197,0.000429,0
1155946,0.995766,0.996195,0.000429,0
1155997,0.995767,0.996196,0.000429,0
1101331,0.995828,0.996235,0.000407,0
1101323,0.995873,0.996263,0.000390,0
1101315,0.995923,0.996294,0.000371,0
1155334,0.995922,0.996293,0.000371,0
1155342,0.995920,0.996291,0.000371,0
1155351,0.995919,0.996290,0.000371,0
1155679,0.995916,0.996287,0.000371,0
1157019,0.995920,0.996291,0.000371,0
1155377,0.995917,0.996288,0.000371,0
1101307,0.995996,0.996345,0.000349,0
2214148,0.995992,0.996341,0.000349,0
2214156,0.995991,0.996340,0.000349,0
4938216,0.995991,0.996340,0.000349,0
2214130,0.995994,0.996343,0.000349,0
1155253,0.996060,0.996391,0.000331,0
1101293,0.996073,0.996404,0.000331,0
1155911,0.996059,0.996390,0.000331,0
2567831,0.996059,0.996390,0.000331,0
3453260,0.996051,0.996382,0.000331,0
3453367,0.996052,0.996383,0.000331,0
3453464,0.996054,0.996385,0.000331,0
1155245,0.996068,0.996398,0.000330,0
2567814,0.996060,0.996390,0.000330,0
1155270,0.996063,0.996393,0.000330,0
3453561,0.996059,0.996389,0.000330,0
3769721,0.996194,0.996502,0.000308,0
1103431,0.996286,0.996577,0.000291,0
1103458,0.996284,0.996575,0.000291,0
1101277,0.996287,0.996578,0.000291,0
1101251,0.996344,0.996625,0.000281,0
1103725,0.996385,0.996659,0.000274,0
1154605,0.996384,0.996658,0.000274,0
1154613,0.996384,0.996658,0.000274,0
1667238,0.996385,0.996659,0.000274,0
1067214,0.996386,0.996659,0.000273,0
1067206,0.996493,0.996749,0.000256,0
1103393,0.996491,0.996747,0.000256,0
1103407,0.996488,0.996744,0.000256,0
1667262,0.996488,0.996744,0.000256,0
1103245,0.996599,0.996839,0.000240,0
1103385,0.996599,0.996839,0.000240,0
1103351,0.996600,0.996840,0.000240,0
1103253,0.996597,0.996836,0.000239,0
1067192,0.996601,0.996840,0.000239,0
1154541,0.996698,0.996923,0.000225,0
1067184,0.996704,0.996928,0.000224,0
1103211,0.996700,0.996924,0.000224,0
1103229,0.996700,0.996924,0.000224,0
1154524,0.996703,0.996927,0.000224,0
1154532,0.996700,0.996924,0.000224,0
1154575,0.996703,0.996927,0.000224,0
1154583,0.996701,0.996925,0.000224,0
1154591,0.996698,0.996922,0.000224,0
1067176,0.996784,0.996998,0.000214,0
1154371,0.996779,0.996993,0.000214,0
1154389,0.996779,0.996993,0.000214,0
1154214,0.996739,0.996953,0.000214,0
1154397,0.996767,0.996980,0.000213,0
1154401,0.996748,0.996961,0.000213,0
1067150,0.996967,0.997162,0.000195,0
1067141,0.997152,0.997326,0.000174,0
1154249,0.997151,0.997325,0.000174,0
1154257,0.997150,0.997324,0.000174,0
1154273,0.997149,0.997323,0.000174,0
1154281,0.997147,0.997321,0.000174,0
1154290,0.997148,0.997322,0.000174,0
1103318,0.997275,0.997437,0.000162,0
1067133,0.997277,0.997438,0.000161,0
1154478,0.997277,0.997438,0.000161,0
1067125,0.997279,0.997440,0.000161,0
1103296,0.997276,0.997437,0.000161,0
1103300,0.997276,0.997437,0.000161,0
1103326,0.997276,0.997437,0.000161,0
1154443,0.997279,0.997440,0.000161,0
1154451,0.997278,0.997439,0.000161,0
1154494,0.997275,0.997436,0.000161,0
1067117,0.997439,0.997585,0.000146,0
1154311,0.997435,0.997581,0.000146,0
1154346,0.997438,0.997584,0.000146,0
1154354,0.997437,0.997583,0.000146,0
1026666,0.997610,0.997739,0.000129,0
1067109,0.997629,0.997758,0.000129,0
8339155,0.997609,0.997738,0.000129,0
8339694,0.997609,0.997738,0.000129,0
8339708,0.997610,0.997739,0.000129,0
1102958,0.997627,0.997756,0.000129,0
1102982,0.997611,0.997740,0.000129,0
1154508,0.997611,0.997740,0.000129,0
1026682,0.997611,0.997739,0.000128,0
1102974,0.997625,0.997753,0.000128,0
8338973,0.997609,0.997737,0.000128,0
1283235,0.997760,0.997878,0.000118,0
4249356,0.997756,0.997874,0.000118,0
4249372,0.997755,0.997873,0.000118,0
5604524,0.997759,0.997877,0.000118,0
5605024,0.997767,0.997885,0.000118,0
9500758,0.997775,0.997893,0.000118,0
9500774,0.997771,0.997889,0.000118,0
1067052,0.997776,0.997894,0.000118,0
1067079,0.997770,0.997888,0.000118,0
1067087,0.997765,0.997883,0.000118,0
4249330,0.997762,0.997880,0.000118,0
5605032,0.997765,0.997883,0.000118,0
8795266,0.997770,0.997888,0.000118,0
9500766,0.997773,0.997891,0.000118,0
4249348,0.997761,0.997878,0.000117,0
