nodo,u_sin_pu,u_con_pu,dU_pu,clave
1154206,0.997810,0.997912,0.000102,0
1154435,0.997803,0.997905,0.000102,0
1154222,0.997808,0.997910,0.000102,0
1067028,0.997845,0.997946,0.000101,0
1154133,0.997844,0.997944,0.000100,0
1154150,0.997844,0.997944,0.000100,0
1154303,0.997844,0.997944,0.000100,0
1154141,0.997845,0.997945,0.000100,0
1154176,0.997843,0.997943,0.000100,0
1154079,0.998019,0.998110,0.000091,0
1154117,0.998015,0.998106,0.000091,0
1067010,0.998021,0.998112,0.000091,0
1154087,0.998012,0.998103,0.000091,0
1154109,0.998013,0.998104,0.000091,0
1154125,0.998016,0.998107,0.000091,0
2765811,0.998012,0.998103,0.000091,0
2765829,0.997998,0.998089,0.000091,0
2765837,0.997996,0.998087,0.000091,0
1069683,0.998133,0.998219,0.000086,0
1069527,0.998385,0.998460,0.000075,0
1069519,0.998442,0.998514,0.000072,0
1069501,0.998596,0.998661,0.000065,0
1069497,0.998788,0.998844,0.000056,0
1069489,0.999003,0.999049,0.000046,0
1069471,0.999252,0.999287,0.000035,0
1069454,0.999394,0.999422,0.000028,0
1069446,0.999482,0.999506,0.000024,0
1069438,0.999831,0.999839,0.000008,0
1067001,0.999981,0.999982,0.000001,0
Terminal(1),1.000000,1.000000,0.000000,0
